UF,Ano,CID10,Total
TO,2011,Newborn affected by maternal renal and urinary tract diseases,16
TO,2011,Newborn respiratory distress syndrome,16
TO,2011,Meconium aspiration,14
TO,2011,Others,288
TO,2012,Newborn respiratory distress syndrome,29
TO,2012,"Bacterial sepsis of newborn, unspecified",20
TO,2012,Ill-defined and unknown cause of mortality,17
TO,2012,Preterm [premature] newborn [other],16
TO,2012,Newborn affected by maternal hypertensive disorders,11
TO,2012,Others,228
TO,2013,"Bacterial sepsis of newborn, unspecified",22
TO,2013,Newborn affected by maternal renal and urinary tract diseases,21
TO,2013,Newborn respiratory distress syndrome,14
TO,2013,Newborn affected by maternal hypertensive disorders,11
TO,2013,"Congenital malformation of heart, unspecified",10
TO,2013,Others,232
TO,2014,Newborn affected by maternal renal and urinary tract diseases,18
TO,2014,Newborn respiratory distress syndrome,14
TO,2014,Newborn affected by maternal hypertensive disorders,14
TO,2014,"Congenital malformation of heart, unspecified",10
TO,2014,Ill-defined and unknown cause of mortality,10
TO,2014,Others,229
TO,2015,Newborn affected by maternal renal and urinary tract diseases,32
TO,2015,Newborn affected by maternal hypertensive disorders,17
TO,2015,"Congenital malformation of heart, unspecified",16
TO,2015,Newborn respiratory distress syndrome,11
TO,2015,"Bacterial sepsis of newborn, unspecified",10
TO,2015,Others,226
MA,2000,Unattended death,367
MA,2000,"Condition originating in the perinatal period, unspecified",238
MA,2000,Respiratory failure of newborn,98
MA,2000,Newborn respiratory distress syndrome,93
MA,2000,Neonatal cardiac dysrhythmia,72
MA,2000,Others,917
MA,2001,Unattended death,455
MA,2001,Respiratory failure of newborn,145
MA,2001,"Bacterial sepsis of newborn, unspecified",121
MA,2001,Newborn respiratory distress syndrome,119
MA,2001,"Infectious gastroenteritis and colitis, unspecified",89
MA,2001,Others,1121
MA,2002,Unattended death,400
MA,2002,Respiratory failure of newborn,197
MA,2002,"Condition originating in the perinatal period, unspecified",168
MA,2002,"Bacterial sepsis of newborn, unspecified",142
MA,2002,Newborn respiratory distress syndrome,118
MA,2002,Others,1247
MA,2003,Unattended death,392
MA,2003,"Condition originating in the perinatal period, unspecified",181
MA,2003,Respiratory failure of newborn,164
MA,2003,Newborn respiratory distress syndrome,134
MA,2003,"Infectious gastroenteritis and colitis, unspecified",111
MA,2003,Others,1337
MA,2004,Unattended death,300
MA,2004,"Condition originating in the perinatal period, unspecified",176
MA,2004,"Bacterial sepsis of newborn, unspecified",136
MA,2004,Respiratory failure of newborn,125
MA,2004,Newborn respiratory distress syndrome,117
MA,2004,Others,1224
MA,2005,"Infectious gastroenteritis and colitis, unspecified",180
MA,2005,Newborn respiratory distress syndrome,179
MA,2005,Respiratory failure of newborn,166
MA,2005,"Bacterial sepsis of newborn, unspecified",136
MA,2005,Unattended death,123
MA,2005,Others,1552
MA,2006,Newborn respiratory distress syndrome,167
MA,2006,"Infectious gastroenteritis and colitis, unspecified",155
MA,2006,"Bacterial sepsis of newborn, unspecified",147
MA,2006,"Birth asphyxia, unspecified",84
MA,2006,"Congenital malformation of heart, unspecified",80
MA,2006,Others,1478
MA,2007,Newborn respiratory distress syndrome,152
MA,2007,"Bacterial sepsis of newborn, unspecified",138
MA,2007,"Infectious gastroenteritis and colitis, unspecified",94
MA,2007,"Birth asphyxia, unspecified",93
MA,2007,"Congenital malformation of heart, unspecified",85
MA,2007,Others,1479
MA,2008,Newborn respiratory distress syndrome,134
MA,2008,"Bacterial sepsis of newborn, unspecified",133
MA,2008,"Infectious gastroenteritis and colitis, unspecified",100
MA,2008,"Birth asphyxia, unspecified",92
MA,2008,"Congenital malformation of heart, unspecified",80
MA,2008,Others,1444
MA,2009,"Bacterial sepsis of newborn, unspecified",181
MA,2009,Newborn respiratory distress syndrome,113
MA,2009,"Birth asphyxia, unspecified",99
MA,2009,"Congenital malformation of heart, unspecified",80
MA,2009,"Infectious gastroenteritis and colitis, unspecified",70
MA,2009,Others,1382
MA,2010,Newborn respiratory distress syndrome,156
MA,2010,"Bacterial sepsis of newborn, unspecified",118
MA,2010,"Congenital malformation of heart, unspecified",93
MA,2010,"Birth asphyxia, unspecified",86
MA,2010,Extremely low birth weight newborn,75
MA,2010,Others,1238
MA,2011,Newborn respiratory distress syndrome,138
MA,2011,"Congenital malformation of heart, unspecified",137
MA,2011,"Bacterial sepsis of newborn, unspecified",134
MA,2011,"Birth asphyxia, unspecified",84
MA,2011,"Pneumonia, unspecified organism",82
MA,2011,Others,1281
MA,2012,"Bacterial sepsis of newborn, unspecified",132
MA,2012,Newborn respiratory distress syndrome,115
MA,2012,"Congenital malformation of heart, unspecified",96
MA,2012,"Pneumonia, unspecified organism",68
MA,2012,"Birth asphyxia, unspecified",68
MA,2012,Others,1156
MA,2013,Newborn respiratory distress syndrome,132
MA,2013,"Bacterial sepsis of newborn, unspecified",131
MA,2013,"Congenital malformation of heart, unspecified",83
MA,2013,"Birth asphyxia, unspecified",83
MA,2013,"Pneumonia, unspecified organism",74
MA,2013,Others,1313
MA,2014,"Bacterial sepsis of newborn, unspecified",116
MA,2014,"Congenital malformation of heart, unspecified",113
MA,2014,Newborn respiratory distress syndrome,110
MA,2014,"Birth asphyxia, unspecified",83
MA,2014,"Pneumonia, unspecified organism",82
MA,2014,Others,1261
MA,2015,"Bacterial sepsis of newborn, unspecified",155
MA,2015,"Congenital malformation of heart, unspecified",109
MA,2015,Newborn respiratory distress syndrome,104
MA,2015,"Birth asphyxia, unspecified",73
MA,2015,Meconium aspiration,60
MA,2015,Others,1232
PI,2000,"Condition originating in the perinatal period, unspecified",192
PI,2000,Respiratory failure of newborn,138
PI,2000,Unattended death,123
PI,2000,Newborn respiratory distress syndrome,85
PI,2000,Ill-defined and unknown cause of mortality,78
PI,2000,Others,815
PI,2001,Respiratory failure of newborn,139
PI,2001,"Condition originating in the perinatal period, unspecified",139
PI,2001,Unattended death,109
PI,2001,Newborn respiratory distress syndrome,85
PI,2001,"Birth asphyxia, unspecified",64
PI,2001,Others,836
PI,2002,Unattended death,184
PI,2002,Respiratory failure of newborn,124
PI,2002,Newborn respiratory distress syndrome,89
PI,2002,"Bacterial sepsis of newborn, unspecified",71
PI,2002,"Birth asphyxia, unspecified",68
PI,2002,Others,845
PI,2003,Respiratory failure of newborn,130
PI,2003,Unattended death,126
PI,2003,"Condition originating in the perinatal period, unspecified",91
PI,2003,Newborn respiratory distress syndrome,75
PI,2003,"Bacterial sepsis of newborn, unspecified",66
PI,2003,Others,875
PI,2004,Respiratory failure of newborn,101
PI,2004,"Bacterial sepsis of newborn, unspecified",79
PI,2004,Unattended death,72
PI,2004,"Condition originating in the perinatal period, unspecified",70
PI,2004,Newborn respiratory distress syndrome,64
PI,2004,Others,822
PI,2005,Respiratory failure of newborn,99
PI,2005,Newborn respiratory distress syndrome,84
PI,2005,"Bacterial sepsis of newborn, unspecified",79
PI,2005,Unattended death,66
PI,2005,"Condition originating in the perinatal period, unspecified",65
PI,2005,Others,881
PI,2006,"Bacterial sepsis of newborn, unspecified",77
PI,2006,Newborn respiratory distress syndrome,75
PI,2006,"Infectious gastroenteritis and colitis, unspecified",60
PI,2006,"Congenital malformation of heart, unspecified",59
PI,2006,Other low birth weight newborn,54
PI,2006,Others,892
PI,2007,Newborn affected by premature rupture of membranes,65
PI,2007,Newborn respiratory distress syndrome,61
PI,2007,"Congenital malformation of heart, unspecified",47
PI,2007,Extremely low birth weight newborn,39
PI,2007,"Infectious gastroenteritis and colitis, unspecified",38
PI,2007,Others,944
PI,2008,Newborn affected by premature rupture of membranes,71
PI,2008,Newborn respiratory distress syndrome,69
PI,2008,"Congenital malformation of heart, unspecified",49
PI,2008,Newborn affected by maternal infectious and parasitic diseases,44
PI,2008,Newborn affected by maternal hypertensive disorders,44
PI,2008,Others,841
PI,2009,Newborn respiratory distress syndrome,63
PI,2009,"Bacterial sepsis of newborn, unspecified",56
PI,2009,Newborn affected by premature rupture of membranes,53
PI,2009,Newborn affected by maternal hypertensive disorders,49
PI,2009,"Congenital malformation of heart, unspecified",44
PI,2009,Others,783
PI,2010,Newborn affected by maternal infectious and parasitic diseases,67
PI,2010,"Bacterial sepsis of newborn, unspecified",51
PI,2010,Newborn affected by premature rupture of membranes,46
PI,2010,"Congenital malformation of heart, unspecified",42
PI,2010,Newborn respiratory distress syndrome,32
PI,2010,Others,694
PI,2011,Newborn affected by maternal infectious and parasitic diseases,69
PI,2011,Newborn respiratory distress syndrome,56
PI,2011,Newborn affected by premature rupture of membranes,51
PI,2011,"Congenital malformation of heart, unspecified",51
PI,2011,"Bacterial sepsis of newborn, unspecified",42
PI,2011,Others,670
PI,2012,"Bacterial sepsis of newborn, unspecified",50
PI,2012,"Congenital malformation of heart, unspecified",49
PI,2012,Newborn affected by maternal infectious and parasitic diseases,44
PI,2012,Newborn respiratory distress syndrome,43
PI,2012,Newborn affected by premature rupture of membranes,41
PI,2012,Others,654
PI,2013,Newborn affected by maternal hypertensive disorders,53
PI,2013,"Bacterial sepsis of newborn, unspecified",45
PI,2013,Newborn affected by premature rupture of membranes,39
PI,2013,Newborn respiratory distress syndrome,34
PI,2013,"Congenital malformation of heart, unspecified",31
PI,2013,Others,647
PI,2014,"Congenital malformation of heart, unspecified",40
PI,2014,Newborn affected by maternal hypertensive disorders,38
PI,2014,Newborn respiratory distress syndrome,37
PI,2014,"Bacterial sepsis of newborn, unspecified",36
PI,2014,Newborn affected by premature rupture of membranes,35
PI,2014,Others,623
PI,2015,Newborn affected by maternal hypertensive disorders,59
PI,2015,Newborn affected by premature rupture of membranes,36
PI,2015,"Bacterial sepsis of newborn, unspecified",35
PI,2015,Newborn affected by other forms of placental separation and hemorrhage,31
PI,2015,Meconium aspiration,29
PI,2015,Others,616
CE,2000,"Infectious gastroenteritis and colitis, unspecified",340
CE,2000,Unattended death,316
CE,2000,Respiratory failure of newborn,275
CE,2000,"Bacterial sepsis of newborn, unspecified",265
CE,2000,Newborn respiratory distress syndrome,207
CE,2000,Others,2413
CE,2001,"Infectious gastroenteritis and colitis, unspecified",268
CE,2001,"Bacterial sepsis of newborn, unspecified",232
CE,2001,Respiratory failure of newborn,217
CE,2001,Newborn respiratory distress syndrome,194
CE,2001,Unattended death,169
CE,2001,Others,2109
CE,2002,"Infectious gastroenteritis and colitis, unspecified",294
CE,2002,Newborn respiratory distress syndrome,272
CE,2002,"Bacterial sepsis of newborn, unspecified",260
CE,2002,Unattended death,188
CE,2002,"Birth asphyxia, unspecified",135
CE,2002,Others,2348
CE,2003,Newborn respiratory distress syndrome,290
CE,2003,"Bacterial sepsis of newborn, unspecified",242
CE,2003,"Infectious gastroenteritis and colitis, unspecified",222
CE,2003,Unattended death,220
CE,2003,Preterm [premature] newborn [other],178
CE,2003,Others,2388
CE,2004,Newborn respiratory distress syndrome,261
CE,2004,"Bacterial sepsis of newborn, unspecified",238
CE,2004,"Birth asphyxia, unspecified",166
CE,2004,"Infectious gastroenteritis and colitis, unspecified",164
CE,2004,"Condition originating in the perinatal period, unspecified",162
CE,2004,Others,2121
CE,2005,"Bacterial sepsis of newborn, unspecified",244
CE,2005,Newborn respiratory distress syndrome,225
CE,2005,"Infectious gastroenteritis and colitis, unspecified",126
CE,2005,"Birth asphyxia, unspecified",121
CE,2005,"Sepsis, unspecified organism",94
CE,2005,Others,1783
CE,2006,"Bacterial sepsis of newborn, unspecified",234
CE,2006,Newborn respiratory distress syndrome,212
CE,2006,"Infectious gastroenteritis and colitis, unspecified",118
CE,2006,"Congenital malformation of heart, unspecified",110
CE,2006,"Birth asphyxia, unspecified",104
CE,2006,Others,1680
CE,2007,"Bacterial sepsis of newborn, unspecified",245
CE,2007,Newborn respiratory distress syndrome,158
CE,2007,"Congenital malformation of heart, unspecified",104
CE,2007,"Birth asphyxia, unspecified",82
CE,2007,"Infectious gastroenteritis and colitis, unspecified",77
CE,2007,Others,1498
CE,2008,"Bacterial sepsis of newborn, unspecified",200
CE,2008,Newborn respiratory distress syndrome,181
CE,2008,"Congenital malformation of heart, unspecified",89
CE,2008,"Birth asphyxia, unspecified",89
CE,2008,Extreme immaturity of newborn,83
CE,2008,Others,1467
CE,2009,"Bacterial sepsis of newborn, unspecified",203
CE,2009,Newborn respiratory distress syndrome,181
CE,2009,Extreme immaturity of newborn,81
CE,2009,"Congenital malformation of heart, unspecified",81
CE,2009,"Birth asphyxia, unspecified",78
CE,2009,Others,1414
CE,2010,"Bacterial sepsis of newborn, unspecified",166
CE,2010,Newborn respiratory distress syndrome,137
CE,2010,"Birth asphyxia, unspecified",85
CE,2010,Extreme immaturity of newborn,78
CE,2010,"Congenital malformation of heart, unspecified",68
CE,2010,Others,1158
CE,2011,"Bacterial sepsis of newborn, unspecified",185
CE,2011,Newborn respiratory distress syndrome,158
CE,2011,Extreme immaturity of newborn,74
CE,2011,"Birth asphyxia, unspecified",70
CE,2011,"Pneumonia, unspecified organism",69
CE,2011,Others,1216
CE,2012,"Bacterial sepsis of newborn, unspecified",177
CE,2012,Newborn respiratory distress syndrome,145
CE,2012,"Birth asphyxia, unspecified",95
CE,2012,"Congenital malformation of heart, unspecified",65
CE,2012,Extreme immaturity of newborn,65
CE,2012,Others,1070
CE,2013,"Bacterial sepsis of newborn, unspecified",198
CE,2013,Newborn respiratory distress syndrome,158
CE,2013,"Birth asphyxia, unspecified",85
CE,2013,Extreme immaturity of newborn,64
CE,2013,"Congenital malformation of heart, unspecified",58
CE,2013,Others,1174
CE,2014,"Bacterial sepsis of newborn, unspecified",185
CE,2014,Newborn respiratory distress syndrome,117
CE,2014,Extreme immaturity of newborn,93
CE,2014,"Birth asphyxia, unspecified",74
CE,2014,"Congenital malformation of heart, unspecified",51
CE,2014,Others,1068
CE,2015,"Bacterial sepsis of newborn, unspecified",185
CE,2015,Newborn respiratory distress syndrome,121
CE,2015,"Congenital malformation of heart, unspecified",71
CE,2015,"Birth asphyxia, unspecified",69
CE,2015,Extreme immaturity of newborn,51
CE,2015,Others,1114
RN,2000,Unattended death,152
RN,2000,Respiratory failure of newborn,149
RN,2000,Newborn respiratory distress syndrome,85
RN,2000,"Bacterial sepsis of newborn, unspecified",65
RN,2000,"Infectious gastroenteritis and colitis, unspecified",56
RN,2000,Others,692
RN,2001,Respiratory failure of newborn,131
RN,2001,Newborn respiratory distress syndrome,81
RN,2001,Unattended death,68
RN,2001,"Bacterial sepsis of newborn, unspecified",64
RN,2001,"Congenital pneumonia, unspecified",40
RN,2001,Others,646
RN,2002,Respiratory failure of newborn,119
RN,2002,Newborn respiratory distress syndrome,103
RN,2002,Unattended death,79
RN,2002,"Bacterial sepsis of newborn, unspecified",60
RN,2002,"Pneumonia, unspecified organism",45
RN,2002,Others,709
RN,2003,Newborn respiratory distress syndrome,91
RN,2003,"Bacterial sepsis of newborn, unspecified",52
RN,2003,Unattended death,44
RN,2003,Respiratory failure of newborn,42
RN,2003,Extremely low birth weight newborn,33
RN,2003,Others,644
RN,2004,"Bacterial sepsis of newborn, unspecified",82
RN,2004,Newborn respiratory distress syndrome,76
RN,2004,Extremely low birth weight newborn,41
RN,2004,"Congenital pneumonia, unspecified",36
RN,2004,"Birth asphyxia, unspecified",35
RN,2004,Others,663
RN,2005,"Bacterial sepsis of newborn, unspecified",85
RN,2005,Newborn respiratory distress syndrome,75
RN,2005,Extremely low birth weight newborn,56
RN,2005,Other low birth weight newborn,43
RN,2005,"Birth asphyxia, unspecified",36
RN,2005,Others,559
RN,2006,"Bacterial sepsis of newborn, unspecified",54
RN,2006,Extremely low birth weight newborn,43
RN,2006,Newborn respiratory distress syndrome,31
RN,2006,Other low birth weight newborn,29
RN,2006,"Congenital malformation of heart, unspecified",28
RN,2006,Others,514
RN,2007,"Bacterial sepsis of newborn, unspecified",75
RN,2007,Newborn respiratory distress syndrome,57
RN,2007,Other low birth weight newborn,35
RN,2007,"Congenital malformation of heart, unspecified",29
RN,2007,Extremely low birth weight newborn,23
RN,2007,Others,534
RN,2008,"Bacterial sepsis of newborn, unspecified",79
RN,2008,Newborn respiratory distress syndrome,71
RN,2008,"Congenital malformation of heart, unspecified",47
RN,2008,Extremely low birth weight newborn,42
RN,2008,"Birth asphyxia, unspecified",30
RN,2008,Others,457
RN,2009,"Bacterial sepsis of newborn, unspecified",84
RN,2009,Newborn respiratory distress syndrome,52
RN,2009,"Congenital malformation of heart, unspecified",44
RN,2009,"Birth asphyxia, unspecified",27
RN,2009,"Pneumonia, unspecified organism",24
RN,2009,Others,448
RN,2010,Newborn respiratory distress syndrome,60
RN,2010,"Bacterial sepsis of newborn, unspecified",58
RN,2010,"Congenital malformation of heart, unspecified",29
RN,2010,Extreme immaturity of newborn,23
RN,2010,"Sepsis, unspecified organism",21
RN,2010,Others,441
RN,2011,"Bacterial sepsis of newborn, unspecified",92
RN,2011,Newborn respiratory distress syndrome,63
RN,2011,"Congenital malformation of heart, unspecified",37
RN,2011,Extremely low birth weight newborn,17
RN,2011,"Sepsis, unspecified organism",15
RN,2011,Others,412
RN,2012,"Bacterial sepsis of newborn, unspecified",91
RN,2012,Newborn respiratory distress syndrome,57
RN,2012,"Congenital malformation of heart, unspecified",34
RN,2012,"Birth asphyxia, unspecified",21
RN,2012,"Sepsis, unspecified organism",20
RN,2012,Others,431
RN,2013,"Bacterial sepsis of newborn, unspecified",76
RN,2013,Newborn respiratory distress syndrome,76
RN,2013,"Congenital malformation of heart, unspecified",38
RN,2013,Extremely low birth weight newborn,33
RN,2013,"Pneumonia, unspecified organism",21
RN,2013,Others,427
RN,2014,"Bacterial sepsis of newborn, unspecified",84
RN,2014,Newborn respiratory distress syndrome,58
RN,2014,"Congenital malformation of heart, unspecified",35
RN,2014,Extremely low birth weight newborn,26
RN,2014,Newborn affected by maternal renal and urinary tract diseases,17
RN,2014,Others,395
RN,2015,"Bacterial sepsis of newborn, unspecified",66
RN,2015,Newborn respiratory distress syndrome,59
RN,2015,"Congenital malformation of heart, unspecified",44
RN,2015,"Pneumonia, unspecified organism",15
RN,2015,Newborn affected by maternal renal and urinary tract diseases,14
RN,2015,Others,481
PB,2000,Unattended death,457
PB,2000,Respiratory failure of newborn,128
PB,2000,Newborn respiratory distress syndrome,123
PB,2000,"Bacterial sepsis of newborn, unspecified",82
PB,2000,Preterm [premature] newborn [other],79
PB,2000,Others,1001
PB,2001,Unattended death,234
PB,2001,Newborn respiratory distress syndrome,161
PB,2001,Respiratory failure of newborn,71
PB,2001,Sepsis of newborn due to other and unspecified streptococci,63
PB,2001,"Bacterial sepsis of newborn, unspecified",58
PB,2001,Others,785
PB,2002,Unattended death,245
PB,2002,Newborn respiratory distress syndrome,185
PB,2002,"Bacterial sepsis of newborn, unspecified",77
PB,2002,"Infectious gastroenteritis and colitis, unspecified",64
PB,2002,Sepsis of newborn due to other and unspecified streptococci,60
PB,2002,Others,850
PB,2003,Newborn respiratory distress syndrome,185
PB,2003,Unattended death,159
PB,2003,"Bacterial sepsis of newborn, unspecified",76
PB,2003,"Infectious gastroenteritis and colitis, unspecified",53
PB,2003,Candidíase neonatal,50
PB,2003,Others,872
PB,2004,Newborn respiratory distress syndrome,165
PB,2004,Unattended death,120
PB,2004,"Bacterial sepsis of newborn, unspecified",79
PB,2004,Respiratory failure of newborn,64
PB,2004,"Infectious gastroenteritis and colitis, unspecified",52
PB,2004,Others,808
PB,2005,Newborn respiratory distress syndrome,117
PB,2005,"Bacterial sepsis of newborn, unspecified",102
PB,2005,"Respiratory distress of newborn, unspecified",57
PB,2005,Unattended death,53
PB,2005,Respiratory failure of newborn,49
PB,2005,Others,819
PB,2006,"Bacterial sepsis of newborn, unspecified",127
PB,2006,Newborn respiratory distress syndrome,99
PB,2006,"Infection specific to the perinatal period, unspecified",42
PB,2006,Hipóxia intra-uterina não especificada,42
PB,2006,"Infectious gastroenteritis and colitis, unspecified",38
PB,2006,Others,726
PB,2007,"Bacterial sepsis of newborn, unspecified",139
PB,2007,Newborn respiratory distress syndrome,115
PB,2007,Hipóxia intra-uterina não especificada,49
PB,2007,"Respiratory distress of newborn, unspecified",37
PB,2007,"Infection specific to the perinatal period, unspecified",36
PB,2007,Others,697
PB,2008,"Bacterial sepsis of newborn, unspecified",133
PB,2008,Newborn respiratory distress syndrome,100
PB,2008,Hipóxia intra-uterina não especificada,45
PB,2008,"Congenital pneumonia, unspecified",37
PB,2008,"Congenital malformation of heart, unspecified",34
PB,2008,Others,659
PB,2009,"Bacterial sepsis of newborn, unspecified",128
PB,2009,Newborn respiratory distress syndrome,101
PB,2009,"Congenital pneumonia, unspecified",47
PB,2009,Other specified congenital malformations of heart,27
PB,2009,Extreme immaturity of newborn,26
PB,2009,Others,538
PB,2010,"Bacterial sepsis of newborn, unspecified",105
PB,2010,Newborn respiratory distress syndrome,98
PB,2010,"Congenital pneumonia, unspecified",37
PB,2010,Other specified congenital malformations of heart,30
PB,2010,"Congenital malformation of heart, unspecified",22
PB,2010,Others,543
PB,2011,"Bacterial sepsis of newborn, unspecified",115
PB,2011,Newborn respiratory distress syndrome,71
PB,2011,"Congenital pneumonia, unspecified",29
PB,2011,Intrauterine hypoxia first noted during labour and delivery,26
PB,2011,Malformações congênitas não especificadas,24
PB,2011,Others,551
PB,2012,"Bacterial sepsis of newborn, unspecified",96
PB,2012,Newborn respiratory distress syndrome,84
PB,2012,"Congenital pneumonia, unspecified",33
PB,2012,Intrauterine hypoxia first noted during labour and delivery,32
PB,2012,Extreme immaturity of newborn,25
PB,2012,Others,535
PB,2013,"Bacterial sepsis of newborn, unspecified",114
PB,2013,Newborn respiratory distress syndrome,92
PB,2013,Other specified congenital malformations of heart,41
PB,2013,"Congenital pneumonia, unspecified",33
PB,2013,Intrauterine hypoxia first noted during labour and delivery,24
PB,2013,Others,508
PB,2014,"Bacterial sepsis of newborn, unspecified",90
PB,2014,Newborn respiratory distress syndrome,67
PB,2014,Other specified congenital malformations of heart,38
PB,2014,"Congenital pneumonia, unspecified",26
PB,2014,Intrauterine hypoxia first noted during labour and delivery,20
PB,2014,Others,519
PB,2015,"Bacterial sepsis of newborn, unspecified",83
PB,2015,Newborn respiratory distress syndrome,46
PB,2015,Other specified congenital malformations of heart,34
PB,2015,Intrauterine hypoxia first noted during labour and delivery,21
PB,2015,"Congenital pneumonia, unspecified",19
PB,2015,Others,464
PE,2000,Unattended death,971
PE,2000,Newborn respiratory distress syndrome,407
PE,2000,"Infectious gastroenteritis and colitis, unspecified",369
PE,2000,"Bacterial sepsis of newborn, unspecified",241
PE,2000,Respiratory failure of newborn,224
PE,2000,Others,2648
PE,2001,Unattended death,732
PE,2001,Newborn respiratory distress syndrome,370
PE,2001,"Infectious gastroenteritis and colitis, unspecified",266
PE,2001,Respiratory failure of newborn,218
PE,2001,"Bacterial sepsis of newborn, unspecified",217
PE,2001,Others,2579
PE,2002,Unattended death,514
PE,2002,Newborn respiratory distress syndrome,360
PE,2002,"Infectious gastroenteritis and colitis, unspecified",313
PE,2002,"Bacterial sepsis of newborn, unspecified",219
PE,2002,Respiratory failure of newborn,169
PE,2002,Others,2471
PE,2003,Unattended death,493
PE,2003,"Infectious gastroenteritis and colitis, unspecified",353
PE,2003,Newborn respiratory distress syndrome,328
PE,2003,"Bacterial sepsis of newborn, unspecified",237
PE,2003,Respiratory failure of newborn,153
PE,2003,Others,2462
PE,2004,"Infectious gastroenteritis and colitis, unspecified",338
PE,2004,Unattended death,327
PE,2004,Newborn respiratory distress syndrome,230
PE,2004,Respiratory failure of newborn,202
PE,2004,"Bacterial sepsis of newborn, unspecified",181
PE,2004,Others,2159
PE,2005,"Infectious gastroenteritis and colitis, unspecified",250
PE,2005,Newborn respiratory distress syndrome,229
PE,2005,Unattended death,214
PE,2005,"Bacterial sepsis of newborn, unspecified",166
PE,2005,Respiratory failure of newborn,158
PE,2005,Others,2284
PE,2006,"Infectious gastroenteritis and colitis, unspecified",225
PE,2006,Newborn respiratory distress syndrome,184
PE,2006,"Bacterial sepsis of newborn, unspecified",109
PE,2006,"Congenital malformation of heart, unspecified",100
PE,2006,Newborn affected by maternal hypertensive disorders,89
PE,2006,Others,2082
PE,2007,"Infectious gastroenteritis and colitis, unspecified",182
PE,2007,Newborn respiratory distress syndrome,167
PE,2007,"Bacterial sepsis of newborn, unspecified",135
PE,2007,"Congenital malformation of heart, unspecified",97
PE,2007,Newborn affected by maternal hypertensive disorders,95
PE,2007,Others,2095
PE,2008,"Bacterial sepsis of newborn, unspecified",159
PE,2008,Newborn respiratory distress syndrome,146
PE,2008,"Infectious gastroenteritis and colitis, unspecified",145
PE,2008,Newborn affected by maternal hypertensive disorders,116
PE,2008,"Congenital malformation of heart, unspecified",87
PE,2008,Others,1901
PE,2009,"Bacterial sepsis of newborn, unspecified",175
PE,2009,"Congenital malformation of heart, unspecified",125
PE,2009,Newborn affected by maternal hypertensive disorders,116
PE,2009,Newborn respiratory distress syndrome,114
PE,2009,"Infectious gastroenteritis and colitis, unspecified",97
PE,2009,Others,1960
PE,2010,"Bacterial sepsis of newborn, unspecified",154
PE,2010,"Congenital malformation of heart, unspecified",113
PE,2010,Newborn respiratory distress syndrome,90
PE,2010,Newborn affected by maternal hypertensive disorders,87
PE,2010,"Infectious gastroenteritis and colitis, unspecified",69
PE,2010,Others,1694
PE,2011,"Bacterial sepsis of newborn, unspecified",136
PE,2011,"Congenital malformation of heart, unspecified",113
PE,2011,"Infectious gastroenteritis and colitis, unspecified",70
PE,2011,Newborn affected by maternal hypertensive disorders,70
PE,2011,Malformações congênitas não especificadas,68
PE,2011,Others,1687
PE,2012,"Bacterial sepsis of newborn, unspecified",174
PE,2012,Newborn affected by maternal hypertensive disorders,107
PE,2012,"Congenital malformation of heart, unspecified",105
PE,2012,"Infectious gastroenteritis and colitis, unspecified",73
PE,2012,Newborn affected by maternal renal and urinary tract diseases,69
PE,2012,Others,1658
PE,2013,"Bacterial sepsis of newborn, unspecified",155
PE,2013,"Congenital malformation of heart, unspecified",115
PE,2013,Newborn affected by maternal hypertensive disorders,106
PE,2013,"Infectious gastroenteritis and colitis, unspecified",77
PE,2013,Newborn affected by maternal renal and urinary tract diseases,74
PE,2013,Others,1616
PE,2014,"Bacterial sepsis of newborn, unspecified",162
PE,2014,"Congenital malformation of heart, unspecified",104
PE,2014,Newborn affected by maternal hypertensive disorders,99
PE,2014,Newborn affected by chorioamnionitis,76
PE,2014,"Respiratory distress of newborn, unspecified",56
PE,2014,Others,1590
PE,2015,"Bacterial sepsis of newborn, unspecified",196
PE,2015,Newborn affected by maternal hypertensive disorders,110
PE,2015,"Congenital malformation of heart, unspecified",87
PE,2015,Malformações congênitas não especificadas,68
PE,2015,Newborn respiratory distress syndrome,54
PE,2015,Others,1560
AL,2000,Unattended death,403
AL,2000,Respiratory failure of newborn,177
AL,2000,"Infectious gastroenteritis and colitis, unspecified",177
AL,2000,Newborn respiratory distress syndrome,173
AL,2000,"Bacterial sepsis of newborn, unspecified",121
AL,2000,Others,966
AL,2001,Unattended death,388
AL,2001,"Infectious gastroenteritis and colitis, unspecified",211
AL,2001,Newborn respiratory distress syndrome,178
AL,2001,Respiratory failure of newborn,164
AL,2001,"Bacterial sepsis of newborn, unspecified",111
AL,2001,Others,1051
AL,2002,Unattended death,285
AL,2002,Newborn respiratory distress syndrome,175
AL,2002,"Infectious gastroenteritis and colitis, unspecified",142
AL,2002,"Bacterial sepsis of newborn, unspecified",133
AL,2002,Respiratory failure of newborn,93
AL,2002,Others,1044
AL,2003,Unattended death,226
AL,2003,"Infectious gastroenteritis and colitis, unspecified",178
AL,2003,Newborn respiratory distress syndrome,134
AL,2003,"Bacterial sepsis of newborn, unspecified",114
AL,2003,Respiratory failure of newborn,87
AL,2003,Others,915
AL,2004,Unattended death,200
AL,2004,Newborn respiratory distress syndrome,143
AL,2004,"Infectious gastroenteritis and colitis, unspecified",128
